Pair,Switch,SelfAccB1,PartnerAccB1,StrangerAccB1,SelfMisAccB1,PartnerMisAccB1,StrangerMisAccB1,SelfAccB2,PartnerAccB2,StrangerAccB2,SelfMisAccB2,PartnerMisAccB2,StrangerMisAccB2
1,Partner,0.975,0.975,0.975,0.921052632,1,1,0.975,1,0.975,0.923076923,0.974358974,0.95
2,Partner,0.95,0.75,0.846153846,0.837837838,0.805555556,0.825,0.923076923,0.875,0.775,0.810810811,0.868421053,0.615384615
3,Partner,0.975,0.864864865,0.975,0.871794872,1,0.925,0.975,0.85,1,0.769230769,0.9,0.947368421
4,Partner,0.923076923,0.810810811,0.894736842,0.857142857,0.818181818,0.944444444,0.925,0.871794872,0.9,0.947368421,0.947368421,0.9
5,Partner,0.85,0.925,0.846153846,0.8,0.842105263,0.925,0.95,0.95,0.775,0.85,0.925,0.925
6,Partner,0.825,0.771428571,0.566666667,0.444444444,0.529411765,0.392857143,0.692307692,0.6,0.675,0.696969697,0.837837838,0.72972973
7,Partner,0.75,0.725,0.666666667,0.825,0.875,0.769230769,0.95,0.75,0.675,0.894736842,0.875,0.875
8,Partner,0.925,0.846153846,0.9,0.789473684,0.921052632,0.825,0.692307692,0.846153846,0.775,0.648648649,0.736842105,0.947368421
9,Partner,0.975,0.9,0.675,0.868421053,0.891891892,0.846153846,0.923076923,0.894736842,0.763157895,0.820512821,0.871794872,0.9
10,Stranger,0.975,0.871794872,0.763157895,0.820512821,0.941176471,0.805555556,0.9,0.861111111,0.75,0.916666667,0.805555556,0.921052632
11,Stranger,0.975,0.973684211,0.923076923,0.825,0.975,0.973684211,0.925,1,0.923076923,0.95,0.875,0.925
12,Stranger,0.875,0.897435897,0.8,0.714285714,0.65,0.694444444,0.925,0.875,0.9,0.75,0.7,0.9
13,Stranger,0.9,0.75,0.825,0.821428571,0.823529412,0.935483871,0.875,0.675,0.8,0.891891892,0.828571429,0.916666667
14,Stranger,0.945945946,0.617647059,0.941176471,0.717948718,0.815789474,0.666666667,0.85,0.7,0.743589744,0.871794872,1,0.897435897
15,Stranger,0.897435897,0.631578947,0.611111111,0.607142857,0.787878788,0.90625,0.825,0.763157895,0.675675676,0.833333333,0.861111111,0.891891892
16,Stranger,0.975,0.972972973,0.973684211,0.9,0.975,1,1,0.95,0.85,0.75,0.975,0.923076923
17,Stranger,0.974358974,0.763157895,0.942857143,0.787878788,1,0.897435897,0.975,0.973684211,0.925,0.972972973,0.975,0.974358974
18,Stranger,1,0.8,0.975,0.923076923,0.925,0.925,1,0.897435897,0.95,0.975,0.974358974,0.825
19,Stranger,0.871794872,0.783783784,0.789473684,0.789473684,0.775,0.95,1,0.975,0.837837838,0.942857143,0.973684211,0.894736842
20,Stranger,0.95,0.621621622,0.871794872,0.717948718,0.897435897,0.725,0.95,0.837837838,0.974358974,0.975,0.725,0.794871795
21,Stranger,0.897435897,0.837837838,0.891891892,0.717948718,0.921052632,0.578947368,0.820512821,0.825,0.974358974,0.775,0.725,0.725
22,Partner,0.9,0.925,0.846153846,0.825,0.897435897,0.702702703,0.975,0.925,0.875,0.95,0.975,0.925
23,Partner,0.75,0.625,0.473684211,0.789473684,0.894736842,0.868421053,0.925,0.6,0.625,0.789473684,0.85,0.9
24,Stranger,0.85,0.85,0.575,1,0.95,0.95,0.775,0.820512821,0.75,0.894736842,0.875,0.815789474
25,Stranger,1,0.846153846,0.871794872,0.763157895,0.820512821,0.8,0.925,0.95,0.95,0.846153846,0.820512821,0.925
26,Partner,0.925,0.794871795,0.95,0.971428571,0.810810811,0.871794872,0.9,0.820512821,0.925,0.95,0.769230769,0.947368421
27,Partner,0.925,0.9,0.846153846,0.85,0.95,0.9,0.875,0.897435897,0.923076923,0.95,1,0.9
28,Partner,0.975,0.974358974,0.842105263,0.918918919,0.925,0.916666667,1,0.815789474,0.95,0.871794872,1,0.95
29,Partner,0.85,0.684210526,0.710526316,0.675,0.75,0.55,0.975,0.775,0.75,0.65,0.85,0.825
