,Target,Condition,Phase,mean,sd,,,Target,Condition,Phase,mean,sd,,
5,self,Match,1,590.9114898,138.9049044,,6,self,Match,2,611.1593802,144.2377454,,
1,partner,Match,1,690.2789474,188.8275115,,2,partner,Match,2,664.4451429,179.2160749,,
9,stanger,Match,1,687.6769142,183.5626869,,10,stanger,Match,2,665.9430199,171.1766848,,
7,self,Mismatch,1,737.3818182,208.8990794,,8,self,Mismatch,2,730.2022535,192.6069219,,
3,partner,Mismatch,1,764.8237705,222.037252,,4,partner,Mismatch,2,746.9646119,211.7611876,,
11,stanger,Mismatch,1,727.8847713,204.5263443,,12,stanger,Mismatch,2,739.986532,209.0724303,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,5,1,9,7,3,11,,,,,,,
,Target,self,partner,stanger,self,partner,stanger,,,,,,,
,Condition,Match,Match,Match,Mismatch,Mismatch,Mismatch,,,,,,,
,Phase,1,1,1,1,1,1,,,,,,,
,mean,590.9114898,690.2789474,687.6769142,737.3818182,764.8237705,727.8847713,,590.91,690.28,687.68,737.38,764.82,727.88
,sd,138.9049044,188.8275115,183.5626869,208.8990794,222.037252,204.5263443,,138.9,188.83,183.56,208.9,222.04,204.53
,,,,,,,,,,,,,,
,,6,2,10,8,4,12,,,,,,,
,Target,self,partner,stanger,self,partner,stanger,,,,,,,
,Condition,Match,Match,Match,Mismatch,Mismatch,Mismatch,,,,,,,
,Phase,2,2,2,2,2,2,,,,,,,
,mean,611.1593802,664.4451429,665.9430199,730.2022535,746.9646119,739.986532,,611.16,664.45,665.94,730.2,746.96,739.99
,sd,144.2377454,179.2160749,171.1766848,192.6069219,211.7611876,209.0724303,,144.24,179.22,171.18,192.61,211.76,209.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,590.91,690.28,687.68,737.38,764.82,727.88,,,,,,,
,,138.9,188.83,183.56,208.9,222.04,204.53,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,611.16,664.45,665.94,730.2,746.96,739.99,,,,,,,
,,144.24,179.22,171.18,192.61,211.76,209.07,,,,,,,
